customer_id,signup_date,region,acquisition_channel,account_type,age,gender,risk_score,credit_score,email,phone
C100046,2024-01-29,Sabah,offline,Premium ,28.0,F,0.314,,user100046@inbox.io,+6013444667
C100047,2022-08-21,Ho Chi Minh City,ADS,STD,40.0,F,0.381,697.0,user100047@corp.co,+6011883169
C100048,2021-08-05,Saigon,web,PLS,35.0,M,0.351,756.0,user100048@inbox.io,+6014440599
C100049,2021-05-23,MNL,Referal,Plus ,18.0,M,0.171,667.0,user100049@inbox.io,+6012292676
C100050,2022-12-10,Saigon,WEB ,Standard ,35.0,F,0.208,621.0,user100050@corp.co,+6018891535
C100051,2023-06-19,Bangkok,REFERRAL ,premium,29.0,M,0.367,722.0,user100051@example.com,+6012322867
C100052,05/09/2021,singapore ,App store ,plus,,M,0.215,657.0,user100052@example.com,+6012440927
C100053,25/12/2022,Saigon, Paid Ads,plus,37.0,F,0.224,843.0,user100053@corp.co,+6013971075
C100054,2021-11-10,kuala-lumpur,App store,PLS,40.0,M,0.215,695.0,user100054@corp.co,+6014636361
C100055,2024-03-27,SG,WEB ,Standard ,39.0,F,0.397,723.0,user100055@mail.com,+6015860403
C100056,2023-05-14,Sabah,partner,premium,,F,0.138,642.0,user100056@corp.co,+6012963889
C100057,2024-11-09,Saigon,offline,Premium ,30.0,F,0.204,,user100057@example.com,+6019568560
C100058,2024-02-08,BKK,partner,Plus ,,M,0.643,678.0,user100058@example.com,+6019695723
C100059,2022-05-21,Sarawak,web,Premium ,,M,0.404,673.0,user100059@corp.co,+6013846620
C100060,2024-02-25,Penang,referral ,PRM,28.0,F,0.141,674.0,user100060@corp.co,+6014725044
C100061,2024-01-09,sabah,paid ads,plus,31.0,M,0.32,603.0,user100061@corp.co,+6016472544
C100062,2022-10-13,jkt,Partner ,Premium ,23.0,M,0.151,665.0,user100062@mail.com,+6017578230
C100063,2023-04-10,Sarawak,WEB  ,PLS,22.0,M,0.67,713.0,user100063@corp.co,+6015676487
C100064,2021-08-10,Singapore,web,standard,39.0,M,0.123,587.0,user100064@example.com,+6013772456
C100065,2022-06-16,Sarawak,ADs,PLS,43.0,M,0.136,741.0,user100065@inbox.io,+6013463358
C100066,2025-07-18,Manila,Referral ,Plus ,31.0,F,0.377,664.0,user100066@mail.com,+6012225079
C100067,2023-01-31,Pulau Pinang,Referal,STD,40.0,M,0.18,695.0,user100067@example.com,+6019620301
C100068,2022-05-23,Singapore, Paid Ads,premium,35.0,M,0.512,546.0,user100068@corp.co,+6010816561
C100069,2024-12-07,Penang,app-store,plus,27.0,F,0.332,693.0,user100069@mail.com,6016408491
C100070,2024-03-24,johor, Paid Ads,premium,35.0,Other,0.498,617.0,user100070@corp.co,6010554261
C100071,2023-04-19,Sabah,Ads,Standard ,44.0,M,0.122,659.0,user100071@inbox.io,+6014192625
C100072,2025-09-27,Saigon, Paid Ads,PRM,32.0,M,0.115,,user100072@corp.co,+6012305813
C100073,2022-11-14,selangor,IOS Store,Plus ,45.0,F,0.3,627.0,user100073@inbox.io,+6011439177
C100074,2023-10-05,BKK,Referral ,standard,,F,0.406,670.0,user100074@mail.com,+6014142896
C100075,23/06/2021,kuala-lumpur,Partner ,Premium ,39.0,F,0.061,664.0,user100075@corp.co,+6012423140
C100076,2022-12-13,Sabah,app-store,standard,33.0,F,0.399,733.0,user100076@inbox.io,+6014582574
C100077,2021-04-10,SELANGOR ,App store,Plus ,30.0,M,,568.0,user100077@example.com,+6018314299
C100078,2023-09-08,penang,App store,PLS,33.0,F,0.376,677.0,user100078@corp.co,+6010574528
C100079,2024-05-31,kuala-lumpur,paid ads,Premium ,18.0,,0.179,674.0,user100079@corp.co,+6015115240
C100080,2023-04-12,Jakarta,offline,Standard ,30.0,F,0.521,653.0,user100080@example.com,+6011519304
C100081,2021-07-25,Selangor,Referral ,plus,35.0,F,0.083,625.0,user100081@example.com,+6013248624
C100082,2022-10-18,MNL,referral,plus,44.0,Other,0.322,746.0,user100082@corp.co,+6017765210
C100083,2023-09-05,Selangor,App store,plus,28.0,M,0.396,803.0,user100083@inbox.io,+6010298780
C100084,2022-10-23,bangkok,web,STD,26.0,M,0.13,577.0,user100084@corp.co,6014698866
C100085,2025-04-01,selangor,Referral ,STD,28.0,F,0.058,625.0,user100085@mail.com,+6011364966
C100086,2024-05-14,KL,Referal,Standard ,39.0,F,0.582,620.0,user100086@inbox.io,+6011117318
C100087,2024-11-26,SG,ADs,plus,35.0,F,0.426,663.0,user100087@inbox.io,+6015231459
C100088,2022-03-20,selangor,Offline  Event,Standard ,,M,0.4,755.0,user100088@example.com,+6016734605
C100089,2023-04-03,Kuala Lumpur ,Offline  Event,plus,36.0,M,0.25,712.0,user100089@inbox.io,+6016310770
C100090,10/03/2022,kuala-lumpur,website,plus,33.0,F,0.31,671.0,user100090@corp.co,+6016412046
C100091,2023-02-06,manila,Partner ,Standard ,,M,0.281,681.0,user100091@corp.co,+6012587020
C100092,2025-08-02,Singapore,Referal,STD,26.0,F,0.436,,user100092@corp.co,+6012865833
C100093,28/03/2023,Selangor,App store, Plus ,29.0,M,0.276,,user100093@corp.co,+6011296605
C100094,2024-08-24,KL , Paid Ads,Standard ,29.0,F,0.133,732.0,user100094@inbox.io,+6016374202
C100095,2024-05-25,sabah,partner,Plus ,20.0,F,0.126,715.0,user100095@example.com,+6015398740
C100096,2024-01-30,Singapore,web,PRM,34.0,F,0.512,548.0,user100096@inbox.io,+6013506343
C100097,2022-11-13,MNL,web,standard,34.0,M,0.082,681.0,user100097@inbox.io,+6017538492
C100098,2022-03-06,Pulau Pinang,offline,PLS,32.0,F,0.391,669.0,user100098@ example.com,+6018779344
C100099,2025-05-03,Saigon,partner,PLS,30.0,M,0.185,739.0,user100099@corp.co,+6017740891
C100100,2025-03-14,Kuala Lumpur ,Referal,PRM,21.0,F,0.039,694.0,user100100@mail.com,+6016602021
C100101,2021-10-10,SG,Partnership,Plus ,29.0,M,0.398,713.0,user100101@example.com,+6014508807
C100102,2021-05-27,singapore ,Partner ,PLS,29.0,M,0.359,650.0,user100102@corp.co,+6017760159
C100103,2021-12-07,Manila ,WEB,premium,26.0,M,0.257,736.0,user100103@inbox.io,+6012505170
C100104,2022-04-20,Sarawak,app-store,standard,31.0,M,0.188,754.0,user100104@inbox.io,+6019638781
C100105,2022-05-13,bangkok,paid ads,STD,35.0,Other,0.568,582.0,user100105@example.com,+6016843708
C100106,2024-08-04,Sarawak,IOS Store,Standard ,47.0,M,0.285,602.0,user100106@example.com,+6013104997
C100107,2021-07-17,selangor,Offline  Event,PRM,33.0,F,0.224,726.0,user100107@corp.co,+6011824481
C100108,2024-04-10,KL, Referral ,plus,34.0,Other,0.112,670.0,user100108@mail.com,+6013316136
C100109,2024-03-31,Manila, Paid Ads,Plus ,31.0,M,0.119,742.0,user100109@inbox.io,+6013239032
C100110,2024-12-25,MANILA,App store,standard,18.0,F,0.402,695.0,user100110@example.com,6017744925
C100111,2025-07-02,Saigon, Paid Ads,Premium ,32.0,M,0.221,722.0,user100111@inbox.io,+6018872432
C100112,2023-02-21,sabah,Partner ,plus,32.0,M,0.011,635.0,user100112@ inbox.io,+6018241387
C100113,2025-09-15,SG,Ads,standard ,,M,0.17,700.0,user100113@inbox.io,+6011970172
C100114,2021-02-05,MNL,web,standard,30.0,F,0.451,701.0,user100114@mail.com,+6017101223
C100115,2021-12-22,Johor,offline,PRM,34.0,M,0.373,639.0,user100115@example.com,+6012772117
C100116,2025-07-27,Johor,Referral ,plus,32.0,F,0.191,740.0,user100116@inbox.io,+6016798654
C100117,2023-04-09,Kuala  Lumpur,Referal,Plus ,23.0,F,0.653,566.0,user100117@corp.co,+6017226485
C100118,23/11/2023,Sabah ,Partner ,Standard ,41.0,F,0.107,692.0,user100118@corp.co,+6019694199
C100119,2021-12-13,singapore  , Paid Ads,PRM ,38.0,M,0.091,602.0,user100119@mail.com,+6016173936
C100120,2023-07-01,HCMC,Referal,STD,38.0,F,0.082,619.0,user100120@example.com,+6014998342
C100121,2024-09-12,Sabah  ,web,Plus ,25.0,F,0.154,739.0,user100121@mail.com,+6019396868
C100122,2022-05-07,Jakarta,Offline  Event,Plus ,43.0,F,0.376,614.0,user100122@corp.co,+6019198589
C100123,2024-11-10,johor,partner,PLS,21.0,F,0.185,,user100123@example.com,+6018468925
C100124,2021-01-11,Sabah ,offline,Premium ,37.0,F,0.24,715.0,user100124@inbox.io,+6011423166
C100125,30/03/2023,sarawak,Referral ,plus,50.0,M,0.057,613.0,user100125@mail.com,+6017471915
C100126,2025-04-05,Sarawak,app-store,premium,24.0,M,0.511,741.0,user100126@corp.co,+6016229166
C100127,10/07/2022,jakarta,website,standard,27.0,M,0.458,719.0,user100127@mail.com,+6016874914
C100128,27/04/2025,Saigon,App store,plus,33.0,M,0.227,633.0,user100128@mail.com,+6010934894
C100129,2021-11-27,Johor,Referal,PLS,28.0,M,0.226,739.0,user100129@example.com,6013671183
C100130,2023-07-17,Pulau Pinang,Ads,STD,20.0,M,0.268,564.0,user100130@corp.co,+6014711488
C100131,27/04/2025,Jakarta,partner,Plus ,33.0,M,0.308,708.0,user100131@corp.co,+6015824617
C100132,2022-09-10,SG,App-store,PLS,24.0,Other,0.288,605.0,user100132@example.com,+6012517676
C100133,2022-04-20,Penang,Partner ,PRM,36.0,M,0.307,649.0,user100133@example.com,+6010958917
C100134,2024-03-07,Ho Chi Minh City,website,Premium ,25.0,F,0.237,,user100134@inbox.io,+6016640472
C100135,2022-05-17,SELANGOR ,Referal,STD,,F,0.12,757.0,user100135@mail.com,+6012981515
C100136,2025-08-03,Pulau Pinang,Referral ,STD,26.0,F,0.31,650.0,user100136@example.com,+6012626100
C100137,2025-07-06,bangkok,Referral ,Premium ,29.0,F,0.202,675.0,user100137@mail.com,+6017693818
C100138,2021-01-02,bangkok,App store,premium,39.0,M,0.278,654.0,user100138@inbox.io,+6015845215
C100139,05/10/2023,sarawak,ADs,plus,,M,0.081,621.0,user100139@example.com,+6016175110
C100140,2025-02-27,MNL,paid ads,STD,34.0,M,0.211,618.0,user100140@corp.co,+6014916501
C100141,2021-03-02,SG,referral,Standard ,42.0,M,0.154,699.0,user100141@inbox.io,+6011889917
C100142,14/12/2021,Johor,partner,Plus ,19.0,F,0.375,678.0,user100142@mail.com,+6010693084
C100143,02/02/2024,Bangkok,Offline  Event,PLS,33.0,F,0.291,726.0,user100143@example.com,+6016501118
C100144,2023-08-14,Bangkok,web,PLS,34.0,M,0.167,665.0,user100144@corp.co,+6011805077
C100145,2023-01-14,Kuala  Lumpur,referral,STD,38.0,M,0.182,667.0,user100145@mail.com,+6015744887
C100146,29/06/2021,penang,app-store,Standard  ,22.0,M,0.336,726.0,user100146@corp.co,+6012750796
C100147,2023-01-19,Manila,Ads,Premium ,21.0,M,0.323,658.0,user100147@inbox.io,6013265700
C100148,2021-09-02,penang, Paid Ads,premium,36.0,F,0.262,594.0,user100148@inbox.io,+6015573742
C100149,2021-09-24,sarawak,Offline--Event,Standard ,34.0,M,0.352,731.0,user100149@mail.com,+6018728196
C100150,2025-02-18,penang,paid ads,standard,34.0,F,0.473,639.0,user100150@mail.com,+6010673740
C100151,2021-08-04,Johor,Referral ,PRM,35.0,M,0.153,684.0,user100151@corp.co,+6018451260
C100152,2025-07-14,Sarawak,App store,standard,27.0,M,0.074,642.0,user100152@mail.com,+6010544134
C100153,2022-01-26,SELANGOR ,Partner ,premium,34.0,F,0.368,622.0,user100153@corp.co,+6019115657
C100154,2022-02-03,KL,Ads,standard,34.0,F,0.178,566.0,user100154@mail.com,+6013157510
C100155,2025-01-16,johor,Partnership,PLS,26.0,Other,0.357,700.0,user100155@corp.co,+6013399476
C100156,2025-09-05,Bangkok,Offline  Event,PLS,47.0,F,0.388,476.0,user100156@example.com,+6017872496
C100157,2022-05-29,Saigon,paid ads,Premium ,36.0,M,0.309,758.0,user100157@example.com,+6011182157
C100158,2023-04-04,Sarawak,Referral ,Premium ,22.0,M,0.171,742.0,user100158@mail.com,+6012151659
C100159,2025-06-28,Kuala  Lumpur,Partnership, Plus ,37.0,F,0.03,,user100159@example.com,+6012591522
C100160,2024-08-07,penang, Paid Ads,Standard ,24.0,F,0.104,775.0,user100160@example.com,+6013125707
C100161,2022-10-21,Johor,Referal,premium,38.0,F,0.128,804.0,user100161@inbox.io,+6012345740
C100162,2025-08-03,Sabah ,web,STD,41.0,M,0.335,664.0,user100162@ mail.com,+6018755701
C100163,2022-09-17,johor,Partnership, Plus ,25.0,Other,0.524,705.0,user100163@example.com,+6015769444
C100164,2023-08-27,Jakarta,referral,plus,40.0,M,0.132,688.0,user100164@corp.co,+6019972832
C100165,24/05/2024,Johor,referral ,Plus ,35.0,F,0.295,771.0,user100165@inbox.io,+6015836342
C100166,2024-03-06,Kuala  Lumpur, Paid Ads,premium,39.0,F,0.213,596.0,user100166@inbox.io,+6011827953
C100167,2024-09-23,Sabah,App store,Plus ,47.0,M,0.146,666.0,user100167@example.com,+6012721323
C100168,2025-05-28,Kuala  Lumpur,Referral-,standard,30.0,F,0.396,735.0,user100168@inbox.io,+6012136902
C100169,2024-11-03,singapore ,ads,PRM,26.0,M,0.46,729.0,user100169@mail.com,+6017259855
C100170,11/01/2022,SELANGOR ,offline,PRM,25.0,Other,0.303,677.0,user100170@mail.com,+6012306571
C100171,2023-02-10,penang,Referral ,standard,,M,0.373,764.0,user100171@corp.co,6010927743
C100172,2022-11-30,Bangkok,Ads,PLS,31.0,F,0.297,694.0,user100172@inbox.io,+6013354303
C100173,18/07/2021,sarawak,Partner ,std,35.0,M,0.253,687.0,user100173@corp.co,+6015871725
C100174,2023-11-17,Ho Chi Minh City,Ads,STD,34.0,F,0.493,722.0,user100174@inbox.io,+6018257388
C100175,07/03/2021, jakarta,Referral ,premium,39.0,F,0.114,676.0,user100175@inbox.io,+6013335204
C100176,2025-09-17,singapore-,WEB ,Premium ,32.0,M,0.121,,user100176@inbox.io,+6019667219
C100177,2022-12-16,selangor,website,PRM,44.0,M,0.029,633.0,user100177@corp.co,+6019808571
C100178,2022-11-16,Johor,Offline  Event,Plus ,30.0,F,0.332,850.0,user100178@inbox.io,+6015170903
C100179,2021-01-23,Penang,referral,PRM,54.0,M,0.371,652.0,user100179@corp.co,+6011832681
C100180,2021-08-09,JKT ,website,premium,37.0,F,0.273,724.0,user100180@example.com,+6011352806
C100181,2021-07-02,sarawak,Referal,standard,25.0,M,0.321,795.0,user100181@example.com,+6019710862
C100182,2022-12-13,MNL,web,Plus ,23.0,F,0.15,599.0,user100182@mail.com,+6017900166
C100183,2021-07-29,Ho Chi Minh City,offline,PLS,36.0,M,0.2,717.0,user100183@mail.com,+6017933965
C100184,2021-04-08,Kuala  Lumpur,paid-ads,STD,30.0,M,0.222,681.0,user100184@corp.co,+6013667358
C100185,2023-10-24,JKT,Ads,Plus ,,M,0.121,788.0,user100185@mail.com,+6017730836
C100186,2021-08-09,johor,Partnership,Plus ,36.0,M,0.125,625.0,user100186@inbox.io,+6012560329
C100187,2025-05-17,Penang,Referral ,premium,31.0,M,0.297,635.0,user100187@corp.co,+6018590502
C100188,2023-01-10,HCMC,WEB-,PLS,25.0,F,0.14,677.0,user100188@mail.com,+6016558868
C100189,2023-05-16,Johor ,referral,premium,,F,0.354,650.0,user100189@inbox.io,+6018961536
C100190,2025-02-17,MNL,Partnership,plus,28.0,F,0.494,652.0,user100190@inbox.io,+6012357807
C100191,2022-10-28,Pulau Pinang,Referral ,premium,39.0,F,0.217,802.0,user100191@corp.co,+6016108062
C100192,2025-08-03,SELANGOR ,Partner ,premium,34.0,M,0.27,688.0,user100192@example.com,+6018848972
C100193,2022-02-16,Saigon,Ads,standard,22.0,F,0.08,633.0,user100193@ inbox.io,+6014291200
C100194,08/01/2025,selangor,app-store,Plus ,33.0,M,0.112,657.0,user100194@mail.com,+6012721969
C100195,2023-01-25,JKT,WEB ,premium,35.0,F,0.088,704.0,user100195@mail.com,+6016949144
C100196,2025-01-09,Saigon,App store,PRM,25.0,M,0.293,700.0,user100196@corp.co,+6016445017
C100197,2024-06-18,sarawak,Ads,plus,33.0,M,0.379,645.0,user100197@mail.com,+6011419385
C100198,2022-08-15,JKT, website,premium,,M,0.145,582.0,user100198@mail.com,+6014819636
C100199,21/10/2021,johor,Referral ,PLS,23.0,F,0.446,677.0,user100199@corp.co,+6014934925
C100200,2021-10-29,sarawak,partner ,Premium ,35.0,M,0.496,675.0,user100200@corp.co,+6018495106
C100201,2024-09-01,BKK , Paid Ads,Plus ,36.0,F,0.239,641.0,user100201@mail.com,+6015581830
C100202,2024-01-06,Sabah ,Referal,Premium  ,41.0,M,0.29,757.0,user100202@corp.co,+6014307569
C100203,2024-08-09,singapore ,website,PLS,40.0,F,0.25,714.0,user100203@mail.com,+6010522506
C100204,2024-07-01,manila,referral,plus,21.0,F,0.277,688.0,user100204@inbox.io,6012959899
C100205,2024-12-21,Kuala  Lumpur,Offline  Event,Premium ,24.0,M,0.039,658.0,user100205@example.com,+6010500686
C100206,2021-06-18,Penang,referral,Premium ,36.0,F,0.236,784.0,user100206@mail.com,6018167723
C100207,2021-11-02,Bangkok,Ads,Plus ,36.0,F,0.019,611.0,user100207@corp.co,+6014808772
C100208,2021-07-08,Singapore,Referal,premium,36.0,F,0.431,650.0,user100208@ corp.co,+6018766856
C100209,2024-06-04,sabah,WEB ,standard,,F,0.422,,user100209@corp.co,+6014948809
C100210,2023-11-21,singapore , Paid Ads,Standard ,37.0,F,0.218,698.0,user100210@mail.com,+6019744250
C100211,2021-12-06,johor, Paid Ads,STD ,,F,,720.0,user100211@example.com,+6011716150
C100212,2023-02-12,Sabah ,website,PRM,40.0,M,0.601,600.0,user100212@inbox.io,+6018837180
C100213,2022-08-19,selangor,referral,plus,37.0,F,0.205,639.0,user100213@inbox.io,+6017248084
C100214,14/08/2022,SELANGOR ,ADs,PRM,29.0,M,0.393,707.0,user100214@inbox.io,6010281588
C100215,2025-07-25,bangkok,IOS Store,STD,38.0,M,0.509,640.0,user100215@corp.co,+6019638897
C100216,2024-10-25, Sarawak,IOS Store,Premium ,26.0,F,0.175,,user100216@corp.co,+6011166009
C100217,2022-03-12,Manila,website,standard,30.0,M,0.081,690.0,user100217@mail.com,+6013110587
C100218,2024-08-03,bangkok,website,PRM,28.0,M,0.293,621.0,user100218@mail.com,+6010642868
C100219,2022-07-25,MNL,partner,standard,33.0,F,0.306,697.0,user100219@inbox.io,+6014349158
C100220,2023-05-16,SG,partner,premium,51.0,F,0.303,717.0,user100220@example.com,+6013713429
C100221,2024-12-08,BKK,website,Standard ,18.0,F,0.184,682.0,user100221@example.com,+6011403642
C100222,2023-02-16,SG,web,Premium ,37.0,F,0.206,766.0,user100222@corp.co,+6011707337
C100223,2021-08-23, BKK,App store,PRM,19.0,F,0.05,724.0,user100223@corp.co,+6018221834
C100224,2024-10-08,sabah,website,plus,28.0,M,0.273,678.0,user100224@inbox.io,+6011834790
C100225,2025-09-06,Kuala  Lumpur,referral,standard,41.0,M,0.538,661.0,user100225@corp.co,+6017719584
C100226,2021-11-01,Bangkok,app-store,premium,33.0,F,0.364,785.0,user100226@inbox.io,+6016361287
C100227,2021-06-07,Sabah ,referral,STD,23.0,M,0.071,640.0,user100227@inbox.io,+6013122171
C100228,2025-08-07,SELANGOR ,APP STORE,PLS,26.0,,,664.0,user100228@inbox.io,+6015101363
C100229,2021-02-15,SELANGOR ,  Paid Ads,plus,37.0,F,0.18,655.0,user100229@corp.co,+6017889621
C100230,2021-10-17,jakarta,paid ads,standard,26.0,M,0.437,704.0,user100230@mail.com,+6014699218
C100231,2023-01-05,jakarta,App store,Plus ,34.0,F,0.626,815.0,user100231@corp.co,+6015155362
C100232,01/06/2022,SELANGOR ,Referal,Premium ,32.0,F,0.109,695.0,user100232@example.com,6014396612
C100233,2024-06-16,Penang,App store,STD,27.0,M,0.347,661.0,user100233@inbox.io,+6013988046
C100234,2025-02-17, selangor,Referal,plus,49.0,Other,0.385,691.0,user100234@example.com,+6012562440
C100235,2025-02-04,Sarawak,offline,Standard ,37.0,F,0.047,601.0,user100235@corp.co,+6011965894
C100236,2022-10-27,Jakarta,Partnership, plus,18.0,M,0.149,669.0,user100236@mail.com,+6019274159
C100237,2024-05-30,Sarawak,IOS Store,standard,33.0,F,0.5,782.0,user100237@inbox.io,+6019685576
C100238,2021-07-02, HCMC,web,standard,27.0,F,0.03,720.0,user100238@example.com,+6010248985
C100239,2022-05-27,sabah,Referral ,Premium ,39.0,F,0.103,754.0,user100239@example.com,+6018394618
C100240,2024-03-23, HCMC,PARTNER,plus,26.0,F,0.614,741.0,user100240@example.com,+6014899211
C100241,2021-01-07,Pulau Pinang,Referal,Standard ,31.0,F,0.315,637.0,user100241@inbox.io,+6011934861
C100242,2024-04-27,Manila,Referral ,plus,36.0,,0.149,795.0,user100242@corp.co,+6016190669
C100243,2023-04-04,JKT,Offline  Event,STD,39.0,F,0.192,573.0,user100243@corp.co,+6016720654
C100244,2024-11-14,kuala-lumpur, App store,standard,22.0,F,0.368,700.0,user100244@corp.co,+6013817078
C100245,2023-06-06,sabah,referral,standard ,29.0,M,0.487,556.0,user100245@mail.com,+6016948204
C100246,2024-08-07,SG,web,premium,28.0,M,0.477,577.0,user100246@mail.com,+6012386269
C100247,2025-09-23,manila, Paid Ads,premium,27.0,Other,0.09,736.0,user100247@corp.co,+6010644866
C100248,2025-02-21,Kuala Lumpur ,Partnership,PRM,46.0,,0.256,639.0,user100248@inbox.io,+6018903937
C100249,2022-04-26,Saigon,offline,premium,35.0,F,0.161,755.0,user100249@mail.com,+6015220229
C100250,2022-08-13,johor,offline,STD,22.0,F,0.144,550.0,user100250@inbox.io,+6016343944
C100251,2023-07-11,Penang,app-store,premium,39.0,F,0.251,675.0,user100251@mail.com,+6012352210
C100252,2022-11-08,penang,Offline  Event,premium,49.0,F,0.358,607.0,user100252@inbox.io,+6018208807
C100253,2021-07-01,Pulau Pinang,Partner ,premium,40.0,F,0.124,660.0,user100253@mail.com,+6013613817
C100254,2025-08-12,manila,App store,STD,20.0,M,0.134,773.0,user100254@example.com,+6010871904
C100255,2021-07-09,bangkok,website,Plus ,28.0,F,0.229,788.0,user100255@corp.co,+6015606229
C100256,2023-09-02,BKK,referral,Plus ,42.0,F,0.514,711.0,user100256@example.com,+6014180171
C100257,2021-06-27,SELANGOR ,Ads,plus,,F,0.304,584.0,user100257@inbox.io,+6010354698
C100258,2021-06-05,penang,IOS Store,PRM,36.0,F,0.116,608.0,user100258@corp.co,+6017530884
C100259,2025-01-21,Singapore,partner,PLS,38.0,F,0.499,690.0,user100259@inbox.io,+6012283723
C100260,2025-04-12,BKK,Referral ,prm,25.0,M,0.234,632.0,user100260@inbox.io,+6016994463
